chunk_path,original_filename,start_s,end_s
/content/temp_audio_chunks/Tutto Ok_10-20s.wav,Tutto Ok.mp3,10,20
/content/temp_audio_chunks/Tutto Ok_20-30s.wav,Tutto Ok.mp3,20,30
/content/temp_audio_chunks/Tutto Ok_30-40s.wav,Tutto Ok.mp3,30,40
/content/temp_audio_chunks/Tutto Ok_40-50s.wav,Tutto Ok.mp3,40,50
/content/temp_audio_chunks/Tutto Ok_50-60s.wav,Tutto Ok.mp3,50,60
/content/temp_audio_chunks/Tutto Ok_60-70s.wav,Tutto Ok.mp3,60,70
/content/temp_audio_chunks/Tutto Ok_70-80s.wav,Tutto Ok.mp3,70,80
/content/temp_audio_chunks/Tutto Ok_80-90s.wav,Tutto Ok.mp3,80,90
/content/temp_audio_chunks/Tutto Ok_90-100s.wav,Tutto Ok.mp3,90,100
/content/temp_audio_chunks/Tutto Ok_100-110s.wav,Tutto Ok.mp3,100,110
/content/temp_audio_chunks/Tutto Ok_110-120s.wav,Tutto Ok.mp3,110,120
/content/temp_audio_chunks/Tutto Ok_120-130s.wav,Tutto Ok.mp3,120,130
